model,shot,meip_mrr,meip_hit1,meip_n,tes_ndcg10,tes_mrr,tes_n,ecd_L1,ecd_L2,ecd_L3,ecd_L4,ecd_macro,ecd_n,total_latency_s,avg_lat_per_call,total_tokens
GPT-5.2,0,0.6654,0.59,200,0.4125,0.2429,283,0.84,0.872,0.576,0.808,0.774,500,6738.1,6.855,1413669
Claude Opus 4.6,0,0.7274,0.665,200,0.4212,0.2514,283,0.928,0.944,0.576,0.896,0.836,500,8861.5,9.015,1646548
Claude Sonnet 4.5,0,0.6506,0.58,200,0.4138,0.2452,283,0.904,0.888,0.536,0.88,0.802,500,3772.5,3.838,1647454
Gemini 2.5 Pro,0,0.6802,0.61,200,0.4499,0.2866,283,0.936,0.976,0.584,0.944,0.86,500,11266.9,11.462,2540569
Gemini 2.5 Flash,0,0.5844,0.49,200,0.6221,0.5751,283,0.792,0.808,0.536,0.792,0.732,500,7785.9,7.921,2528185
Gemini 3 Pro,0,0.2606,0.07,500,0.5917,0.5953,283,0.712,0.688,0.488,0.688,0.644,500,13391.6,10.438,1813426
Gemini 3 Flash,0,0.2601,0.07,500,0.0733,0.0795,283,0.648,0.632,0.504,0.68,0.616,500,15455.0,12.046,1813289
Gemini 3.1 Pro,0,0.8273,0.782,500,0.4213,0.2897,283,0.976,0.976,0.576,0.976,0.876,500,18152.5,14.149,3207875
Doubao Seed 2.0 Pro,0,0.6821,0.615,200,0.7029,0.6148,283,0.968,0.976,0.528,0.936,0.852,500,31501.5,32.046,2689655
DeepSeek-R1,0,0.5358,0.425,200,0.3927,0.2561,283,0.488,0.488,0.472,0.496,0.486,500,33427.6,34.006,2322834
DeepSeek-V3.2,0,0.6345,0.55,200,0.4105,0.2497,283,0.616,0.784,0.592,0.752,0.686,500,3687.0,3.751,1432215
Kimi K2.5,0,0.4836,0.37,200,0.1002,0.102,283,0.488,0.528,0.448,0.528,0.498,500,48063.9,48.895,2510459
GLM-5,0,0.3719,0.225,200,0.1091,0.0946,283,0.64,0.616,0.456,0.64,0.588,500,24297.3,24.717,1977061
MiniMax M2.5,0,0.499,0.375,200,0.1814,0.1833,283,0.552,0.528,0.48,0.584,0.536,500,12235.6,12.447,2507693
claude-opus-4.5,0,0.7713,0.714,500,0.4166,0.2471,283,0.92,0.88,0.56,0.832,0.798,500,7071.7,5.512,1843076
Doubao Seed 1.6,0,0.6517,0.575,200,0.545,0.4364,283,0.96,0.968,0.568,0.92,0.854,500,32537.3,33.1,2503870
gpt-5-mini,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
gpt-5.1,0,0.7476,0.686,500,0.4877,0.3365,283,0.928,0.952,0.584,0.88,0.836,500,8273.8,6.449,1591215
GPT-5,0,0.6599,0.585,200,0.0865,0.0848,283,0.84,0.816,0.52,0.848,0.756,500,15572.1,15.841,2325820
qwen-plus-latest,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,
Qwen_Qwen2_5-7B-Instruct,0,0.0,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,,
claude-opus-4.6_vision,0,0.5685,0.4296,135,,,,,,,,,,1017.8,7.539,85744
doubao-seed-1.6-vision-250815_vision,0,0,0,0,,,,,,,,,,,,
doubao-seed-2.0-pro_vision,0,0.6388,0.5378,1402,,,,,,,,,,120713.5,86.101,4215544
gemini-2.5-flash_vision,0,0.5916,0.4786,1404,,,,,,,,,,117435.4,83.643,3560671
gemini-2.5-pro_vision,0,0.6483,0.5451,1409,,,,,,,,,,68362.1,48.518,3315845
gpt-5.1_vision,0,0.6191,0.5089,1344,,,,,,,,,,14083.6,10.479,1508914
gpt-5.2_vision,0,0.6166,0.5093,1294,,,,,,,,,,8749.4,6.762,2904021
