model,shot,meip_mrr,meip_hit1,meip_n,tes_ndcg10,tes_mrr,tes_n,ecd_L1,ecd_L2,ecd_L3,ecd_L4,ecd_macro,ecd_n,total_latency_s,avg_lat_per_call,total_tokens
GPT-5.2,3,0.6236,0.516,1409,0.3889,0.2344,283,0.864,0.872,0.552,0.824,0.778,500,38441.2,17.537,3054502
GPT-5,3,0.6408,0.5355,1227,0.0759,0.0804,283,0.816,0.864,0.512,0.752,0.736,500,36880.6,18.349,4358259
GPT-5.1,3,0.6037,0.4886,1406,0.4061,0.2572,283,0.896,0.952,0.624,0.872,0.836,500,13441.3,6.14,3064341
Claude Opus 4.6,3,0.6308,0.5228,1404,0.4363,0.2868,283,0.936,0.936,0.568,0.896,0.834,500,29575.8,13.523,3552359
Claude Opus 4.5,3,0.6268,0.5221,1404,0.4087,0.2563,283,0.92,0.896,0.552,0.848,0.804,500,20519.3,9.382,3534181
Claude Sonnet 4.5,3,,,,0.4084,0.2584,283,0.912,0.904,0.552,0.864,0.808,500,9069.9,11.584,1871965
Gemini 2.5 Pro,3,0.6396,0.533,1379,0.413,0.2593,283,0.912,0.952,0.608,0.912,0.846,500,32546.9,15.054,5805353
Gemini 2.5 Flash,3,0.6196,0.5105,1283,0.3933,0.3432,283,0.768,0.848,0.592,0.792,0.75,500,20409.4,9.879,5468185
Gemini 3 Pro,3,0.8196,0.774,500,0.3961,0.2744,283,0.968,0.976,0.584,0.976,0.876,500,16323.1,12.723,3533490
Gemini 3 Flash,3,0.6491,0.5456,1371,0.3526,0.2146,283,0.9677,0.96,0.544,0.936,0.8519,499,24198.7,11.24,5595618
Gemini 3.1 Pro,3,0.6847,0.5903,1396,0.4043,0.2815,283,0.976,0.976,0.6,0.968,0.88,500,29618.1,13.593,5301493
DeepSeek-R1,3,0.6081,0.4949,1374,0.3869,0.2424,282,0.888,0.896,0.544,0.848,0.794,500,117384.4,54.445,5771515
DeepSeek-V3.2,3,0.6012,0.486,1389,0.3852,0.2307,282,0.672,0.75,0.624,0.72,0.6915,499,78935.8,36.376,3069048
DeepSeek-V3,3,0.5876,0.4728,1358,0.39,0.2391,282,0.832,0.9032,0.6,0.88,0.8038,499,18722.7,8.753,3064488
Doubao Seed 2.0 Pro,3,0.6385,0.5335,1402,0.4032,0.2489,283,0.96,0.976,0.544,0.936,0.854,500,72544.0,33.201,6096711
Doubao Seed 2.0 Lite,3,0.6246,0.5156,1406,0.3979,0.2423,283,0.968,0.968,0.568,0.952,0.864,500,63055.9,28.806,5773652
Doubao Seed 1.6,3,0.6231,0.5143,1396,0.3848,0.2314,283,0.944,0.96,0.5565,0.936,0.8491,499,68911.3,31.64,5510635
Kimi K2.5,3,0.6139,0.5045,892,0.1117,0.1183,283,0.512,0.52,0.448,0.52,0.5,500,191607.9,114.393,4403673
GLM-5,3,0.6181,0.5078,967,0.1609,0.1508,283,0.696,0.744,0.528,0.696,0.666,500,87351.2,49.915,5252441
MiniMax M2.5,3,0.6022,0.4938,891,0.1807,0.176,283,0.512,0.544,0.456,0.52,0.508,500,28031.8,16.745,4312121
